optimal group sizes:
individual-testing 0.001 1
individual-testing 0.0025 1
individual-testing 0.005 1
individual-testing 0.0075 1
individual-testing 0.01 1
individual-testing 0.025 1
individual-testing 0.05 1
individual-testing 0.1 1
individual-testing 0.15 1
individual-testing 0.2 1
individual-testing 0.25 1
individual-testing 0.3 1
two-stage-testing 0.001 31
two-stage-testing 0.0025 23
two-stage-testing 0.005 16
two-stage-testing 0.0075 13
two-stage-testing 0.01 10
two-stage-testing 0.025 7
two-stage-testing 0.05 5
two-stage-testing 0.1 4
two-stage-testing 0.15 4
two-stage-testing 0.2 3
two-stage-testing 0.25 3
two-stage-testing 0.3 3
binary-splitting 0.001 32
binary-splitting 0.0025 32
binary-splitting 0.005 32
binary-splitting 0.0075 32
binary-splitting 0.01 32
binary-splitting 0.025 32
binary-splitting 0.05 31
binary-splitting 0.1 31
binary-splitting 0.15 32
binary-splitting 0.2 32
binary-splitting 0.25 32
binary-splitting 0.3 31
purim 0.001 32
purim 0.0025 32
purim 0.005 32
purim 0.0075 32
purim 0.01 27
purim 0.025 15
purim 0.05 11
purim 0.1 7
purim 0.15 6
purim 0.2 5
purim 0.25 32
purim 0.3 32
